            T ,            n_e,            n_H,            n^2,           rho ,         FHI   ,         FHII  ,            mu ,     Losses (L),        L/(n^2),     0.0-0.1keV,     0.1-0.5keV,     0.5-1.0keV,     1.0-2.0keV,    2.0-10.0keV
           (K),        (/cm^3),        (/cm^3),        (/cm^6),       (g/cm^3),               ,               ,          (amu),   (erg/cm^3/s),   (erg.cm^3/s),     (fraction),     (fraction),     (fraction),     (fraction),     (fraction)
  31622.78    ,   1.056470    ,   1.000000    ,   1.086155    ,  2.2707400E-24,  2.6109801E-03,  0.9973890    ,  0.6382225    ,  1.1147819E-22,  2.4282728E-23,   1.006657    ,  8.3429635E-15,  9.5128094E-79,   0.000000    ,   0.000000    
  28183.83    ,   1.027672    ,   1.000000    ,   1.086155    ,  2.2707138E-24,  5.5615559E-03,  0.9944384    ,  0.6469101    ,  1.0743271E-22,  2.4043505E-23,   1.005952    ,  1.3911358E-16,  2.4715792E-88,   0.000000    ,   0.000000    
  25118.86    ,  0.9995272    ,   1.000000    ,   1.086155    ,  2.2706881E-24,  1.2698959E-02,  0.9873010    ,  0.6556322    ,  1.1048059E-22,  2.5397426E-23,   1.003953    ,  1.0517355E-18,  3.2501693E-99,   0.000000    ,   0.000000    
  22387.21    ,  0.9725544    ,   1.000000    ,   1.086155    ,  2.2706636E-24,  3.1133984E-02,  0.9688660    ,  0.6642149    ,  1.2331430E-22,  2.9095332E-23,   1.002365    ,  3.5548715E-21,   0.000000    ,   0.000000    ,   0.000000    
  19952.62    ,  0.9206040    ,   1.000000    ,   1.086155    ,  2.2706162E-24,  8.0852796E-02,  0.9191472    ,  0.6813958    ,  1.4164855E-22,  3.5173995E-23,   1.001446    ,  6.2234935E-24,   0.000000    ,   0.000000    ,   0.000000    
  17782.79    ,  0.7927755    ,   1.000000    ,   1.086155    ,  2.2704998E-24,  0.2081467    ,  0.7918533    ,  0.7277156    ,  1.4287313E-22,  4.0469620E-23,   1.001247    ,  6.3389482E-27,   0.000000    ,   0.000000    ,   0.000000    
  15848.93    ,  0.5531724    ,   1.000000    ,   1.086155    ,  2.2702815E-24,  0.4475028    ,  0.5524972    ,  0.8339978    ,  9.3017054E-23,  3.4612357E-23,   1.002748    ,  3.9057353E-30,   0.000000    ,   0.000000    ,   0.000000    
  14125.38    ,  0.3018721    ,   1.000000    ,   1.086155    ,  2.2700526E-24,  0.6985970    ,  0.3014030    ,  0.9848926    ,  3.2862690E-23,  1.7057179E-23,   1.006653    ,  1.3416895E-33,   0.000000    ,   0.000000    ,   0.000000    
  12589.25    ,  0.1426886    ,   1.000000    ,   1.086155    ,  2.2699076E-24,  0.8576095    ,  0.1423905    ,   1.112404    ,  7.7647724E-24,  5.1420403E-24,   1.011448    ,  2.1294512E-37,   0.000000    ,   0.000000    ,   0.000000    
  11220.18    ,  6.1766650E-02,   1.000000    ,   1.086155    ,  2.2698339E-24,  0.9384148    ,  6.1585183E-02,   1.190783    ,  1.5645034E-24,  1.1872768E-24,   1.012868    ,  1.1838689E-41,   0.000000    ,   0.000000    ,   0.000000    
  10000.00    ,  2.4414995E-02,   1.000000    ,   1.086155    ,  2.2697999E-24,  0.9757075    ,  2.4292475E-02,   1.230814    ,  3.1508401E-25,  2.5546681E-25,   1.002722    ,  1.6947836E-46,   0.000000    ,   0.000000    ,   0.000000    
 ::::::::::::::::::::::::::::::::::::::::::::

