10000.00       2.5546681E-25
11220.18       1.1872768E-24
12589.25       5.1420403E-24
14125.38       1.7057179E-23
15848.93       3.4612357E-23
17782.79       4.0469620E-23
19952.62       3.5173995E-23
22387.21       2.9095332E-23
25118.86       2.5397426E-23
28183.83       2.4043505E-23
31622.78       2.4282728E-23
35481.34       2.5728741E-23
39810.72       2.8476883E-23
44668.36       3.2816361E-23
50118.72       3.9400008E-23
56234.13       4.8918054E-23
63095.73       6.1861077E-23
70794.58       7.7300186E-23
79432.82       9.1084623E-23
89125.09       9.9731931E-23
100000.0       1.0239958E-22
112201.8       9.7169146E-23
125892.5       9.0695968E-23
141253.8       9.0577352E-23
158489.3       9.5269362E-23
177827.9       1.0051781E-22
199526.2       1.0367447E-22
223872.1       1.0522531E-22
251188.6       1.0243039E-22
281838.3       8.7728195E-23
316227.8       6.3890480E-23
354813.4       4.6001388E-23
398107.2       3.7912210E-23
446683.6       3.5414501E-23
501187.2       3.4911087E-23
562341.3       3.4046303E-23
630957.3       3.2189553E-23
707945.8       3.0746926E-23
794328.2       3.0454834E-23
891250.9       3.0662761E-23
1000000.       3.0466044E-23
1122018.       2.9531121E-23
1258925.       2.8295395E-23
1412538.       2.7001789E-23
1584893.       2.5367144E-23
1778279.       2.2957146E-23
1995262.       1.9515997E-23
2238721.       1.5593954E-23
2511886.       1.2289652E-23
2818383.       9.9208383E-24
3162278.       8.3451683E-24
3548134.       7.3910350E-24
3981072.       6.8757362E-24
4466836.       6.6546510E-24
5011872.       6.6296169E-24
5623413.       6.7286247E-24
6309573.       6.8992470E-24
7079458.       7.0887271E-24
7943282.       7.2260773E-24
8912509.       7.2329501E-24
1.0000000E+07  7.0475084E-24
1.1220185E+07  6.6407794E-24
1.2589254E+07  6.0360875E-24
1.4125375E+07  5.3536170E-24
1.5848932E+07  4.7605905E-24
1.7782794E+07  4.3397981E-24
1.9952623E+07  4.0798909E-24
2.2387211E+07  3.9410767E-24
2.5118864E+07  3.8891065E-24
2.8183829E+07  3.9002904E-24
3.1622777E+07  3.9590483E-24
3.5481339E+07  4.0551332E-24
3.9810717E+07  4.1816047E-24
4.4668359E+07  4.3335137E-24
5.0118723E+07  4.5071521E-24
5.6234133E+07  4.6996690E-24
6.3095734E+07  4.9088304E-24
7.0794578E+07  5.1330041E-24
7.9432823E+07  5.3712095E-24
8.9125094E+07  5.6232422E-24
1.0000000E+08  5.8897283E-24
1.1220185E+08  6.1719701E-24
1.2589254E+08  6.4717258E-24
1.4125375E+08  6.7909588E-24
1.5848932E+08  7.1315847E-24
1.7782794E+08  7.4953552E-24
1.9952623E+08  7.8838986E-24
2.2387211E+08  8.2987557E-24
2.5118864E+08  8.7413926E-24
2.8183829E+08  9.2132438E-24
3.1622777E+08  9.7157887E-24
3.5481339E+08  1.0250593E-23
3.9810717E+08  1.0819312E-23
4.4668359E+08  1.1423696E-23
5.0118723E+08  1.2065587E-23
5.6234133E+08  1.2746975E-23
6.3095734E+08  1.3470002E-23
7.0794578E+08  1.4236988E-23
7.9432823E+08  1.5050415E-23
8.9125094E+08  1.5912925E-23
1.0000000E+09  1.6827323E-23
