            T ,            n_e,            n_H,            n^2,           rho ,         FHI   ,         FHII  ,            mu ,     Losses (L),        L/(n^2),     0.0-0.1keV,     0.1-0.5keV,     0.5-1.0keV,     1.0-2.0keV,    2.0-10.0keV
           (K),        (/cm^3),        (/cm^3),        (/cm^6),       (g/cm^3),               ,               ,          (amu),   (erg/cm^3/s),   (erg.cm^3/s),     (fraction),     (fraction),     (fraction),     (fraction),     (fraction)
  891.2509    ,   0.000000    ,   1.000000    ,   1.081156    ,  2.2191882E-24,   1.000000    ,   0.000000    ,   1.236109    ,  8.7113953E-28,  7.4526547E-28,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
  794.3282    ,   0.000000    ,   1.000000    ,   1.081156    ,  2.2191882E-24,   1.000000    ,   0.000000    ,   1.236109    ,  7.8497756E-28,  6.7155336E-28,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
  707.9458    ,   0.000000    ,   1.000000    ,   1.081156    ,  2.2191882E-24,   1.000000    ,   0.000000    ,   1.236109    ,  7.0447364E-28,  6.0268173E-28,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
  630.9573    ,   0.000000    ,   1.000000    ,   1.081156    ,  2.2191882E-24,   1.000000    ,   0.000000    ,   1.236109    ,  6.2947432E-28,  5.3851933E-28,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
  562.3413    ,   0.000000    ,   1.000000    ,   1.081156    ,  2.2191882E-24,   1.000000    ,   0.000000    ,   1.236109    ,  5.5985829E-28,  4.7896237E-28,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
  501.1872    ,   0.000000    ,   1.000000    ,   1.081156    ,  2.2191882E-24,   1.000000    ,   0.000000    ,   1.236109    ,  4.9552543E-28,  4.2392520E-28,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
  446.6836    ,   0.000000    ,   1.000000    ,   1.081156    ,  2.2191882E-24,   1.000000    ,   0.000000    ,   1.236109    ,  4.3638469E-28,  3.7332991E-28,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
  398.1072    ,   0.000000    ,   1.000000    ,   1.081156    ,  2.2191882E-24,   1.000000    ,   0.000000    ,   1.236109    ,  3.8234124E-28,  3.2709539E-28,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
  354.8134    ,   0.000000    ,   1.000000    ,   1.081156    ,  2.2191882E-24,   1.000000    ,   0.000000    ,   1.236109    ,  3.3328415E-28,  2.8512674E-28,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
  316.2278    ,   0.000000    ,   1.000000    ,   1.081156    ,  2.2191882E-24,   1.000000    ,   0.000000    ,   1.236109    ,  2.8907553E-28,  2.4730598E-28,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
  281.8383    ,   0.000000    ,   1.000000    ,   1.081156    ,  2.2191882E-24,   1.000000    ,   0.000000    ,   1.236109    ,  2.4954243E-28,  2.1348516E-28,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
  251.1886    ,   0.000000    ,   1.000000    ,   1.081156    ,  2.2191882E-24,   1.000000    ,   0.000000    ,   1.236109    ,  2.1447244E-28,  1.8348256E-28,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
  223.8721    ,   0.000000    ,   1.000000    ,   1.081156    ,  2.2191882E-24,   1.000000    ,   0.000000    ,   1.236109    ,  1.8361348E-28,  1.5708252E-28,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
  199.5262    ,   0.000000    ,   1.000000    ,   1.081156    ,  2.2191882E-24,   1.000000    ,   0.000000    ,   1.236109    ,  1.5667760E-28,  1.3403870E-28,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
  177.8279    ,   0.000000    ,   1.000000    ,   1.081156    ,  2.2191882E-24,   1.000000    ,   0.000000    ,   1.236109    ,  1.3334811E-28,  1.1408016E-28,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
  158.4893    ,   0.000000    ,   1.000000    ,   1.081156    ,  2.2191882E-24,   1.000000    ,   0.000000    ,   1.236109    ,  1.1328883E-28,  9.6919319E-29,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
  141.2538    ,   0.000000    ,   1.000000    ,   1.081156    ,  2.2191882E-24,   1.000000    ,   0.000000    ,   1.236109    ,  9.6154198E-29,  8.2260535E-29,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
  125.8925    ,   0.000000    ,   1.000000    ,   1.081156    ,  2.2191882E-24,   1.000000    ,   0.000000    ,   1.236109    ,  8.1599052E-29,  6.9808514E-29,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
  112.2018    ,   0.000000    ,   1.000000    ,   1.081156    ,  2.2191882E-24,   1.000000    ,   0.000000    ,   1.236109    ,  6.9287366E-29,  5.9275788E-29,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
  100.0000    ,   0.000000    ,   1.000000    ,   1.081156    ,  2.2191882E-24,   1.000000    ,   0.000000    ,   1.236109    ,  5.8899754E-29,  5.0389119E-29,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 ::::::::::::::::::::::::::::::::::::::::::::

